file,seed,episode,obj,object_width_m,head_scale,calibrate,sensors_only,result,picked,dropped,drop_phase,arm_hit,food_touch,touch_size,touch_speed,stop_size,near_vmax,vmax,amax,ahead,side,n_steps
s101_ep0013.json,101,13,mug,0.0521868027194212,1.0157871261084657,True,True,ok food touched the face at a crawl,True,False,,,True,54.31417074714094,0.010572119526572036,,0.011512478906508266,0.18134867857023781,0.3855356250136076,19.884884141904656,7.856150784929948,509
s101_ep0014.json,101,14,mug,0.05423566055007568,1.0341082243214128,True,True,ok food touched the face at a crawl,True,False,,,True,53.80627157489903,0.011468748463512738,,0.011611760204764386,0.18656060906896782,0.43589540441781044,18.38035031525836,10.96005067802635,536
s101_ep0015.json,101,15,mug,0.052363195421574735,0.9397153961444468,True,True,ok food touched the face at a crawl,True,False,,,True,46.528987808471435,0.009498655593201871,,0.01029407950630406,0.17160187900598686,0.32910688846882497,35.62125513241172,8.525735361556643,481
s101_ep0016.json,101,16,apple,0.03375024276004527,0.9968174242142724,True,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,92.20089619508357,356.15015682331097,252
s101_ep0017.json,101,17,block,0.02934016171978267,1.0299611694350073,True,True,3 never reached the face,True,False,,,False,,,,0.007676329966235437,0.1285301278655806,0.2729676647589376,19.7368356403659,9.789137231950553,800
s101_ep0018.json,101,18,apple,0.05262581592830326,1.0372550689681501,True,True,ok food touched the face at a crawl,True,False,,,True,52.6352485724648,0.010197772282692351,,0.01073273208369688,0.16919427255810698,0.350295715143019,10.906923326424248,4.598626340078953,663
s101_ep0019.json,101,19,block,0.047465500554532386,1.0705397193029182,True,True,ok food touched the face at a crawl,True,False,,,True,53.637669199701975,0.010715943407401476,,0.012576669954785668,0.20608657198075933,0.5452969555522226,24.32896642286246,10.581902374290522,494
s101_ep0020.json,101,20,apple,0.051164300116939766,0.9590010093658856,True,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,77.50779933831629,364.8810339745819,249
s101_ep0021.json,101,21,mug,0.04883936050244296,0.977138672142897,True,True,ok food touched the face at a crawl,True,False,,,True,49.02230261339392,0.00986386066744807,,0.011454502269030251,0.19118507590091732,0.4560210580376946,35.426900242582725,9.4074069822616,498
s101_ep0022.json,101,22,mug,0.048022776603989036,0.9472472986776275,True,True,ok food touched the face at a crawl,True,False,,,True,48.64792001911008,0.012125643537210335,,0.012511832529014775,0.20512543409064712,0.4395228438474028,32.53805106804624,9.209485859578049,415
s101_ep0023.json,101,23,block,0.026829843874482284,0.9491339410644356,True,True,3 never reached the face,True,False,,,False,,,,0.006494981109501693,0.11095140284903877,0.21498266190039603,33.54632940280822,4.602118797977794,800
s101_ep0024.json,101,24,mug,0.05533457301540033,0.9991803044843864,True,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,56.261209459397946,346.4646739317779,252
s102_ep0000.json,102,0,apple,0.05219309387286853,1.0746700997579743,True,True,ok food touched the face at a crawl,True,False,,,True,54.263273920585426,0.012154363279085194,,0.012338011482728575,0.21069642858199294,0.43254702078327784,0.0,7.608312663254631,544
s102_ep0001.json,102,1,mug,0.05612023052438821,1.0572821345947365,True,True,ok food touched the face at a crawl,True,False,,,True,49.60691878199528,0.01250154156823654,,0.012502490315067888,0.21381763067585427,0.44763992695017435,45.768421630531236,2.3931068381137925,448
