file,seed,episode,obj,object_width_m,head_scale,calibrate,sensors_only,result,picked,dropped,drop_phase,arm_hit,food_touch,touch_size,touch_speed,stop_size,near_vmax,vmax,amax,ahead,side,n_steps
s201_ep0014.json,201,14,mug,0.05254568519934872,0.926385454155949,False,True,ok FED,True,False,,,True,46.34911087075936,0.013078144526499113,46.94120819658227,0.013159375066968008,0.2119896795122249,0.4603508421506972,32.87266121771707,4.72879342915654,420
s201_ep0015.json,201,15,block,0.029649023884888714,0.9463656940748538,False,True,3 pinched but never left the table,False,False,,,False,,,,0.0,0.0,0.0,102.51930412081997,345.5291852836631,422
s201_ep0016.json,201,16,block,0.05369369641865647,1.0038887257750095,False,True,3 pinched but never left the table,False,False,,,False,,,,0.0,0.0,0.0,300.99358852540536,413.1638054122044,422
s201_ep0017.json,201,17,apple,0.035458685177361934,1.0070290184480075,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,106.68567004127067,358.32078694353504,252
s201_ep0018.json,201,18,apple,0.032032579486767306,0.9333421010973257,False,True,ok FED,True,False,,,False,,,47.25724041262904,0.00934769500765665,0.15517723849522697,0.3201641423732501,31.059287689566226,7.70994365029599,551
s201_ep0019.json,201,19,block,0.0499693373036792,0.9574775042879644,False,True,3 pinched but never left the table,False,False,,,False,,,,0.0,0.0,0.0,40.74048396484856,326.795273402029,422
s201_ep0020.json,201,20,apple,0.036808743930556456,1.0501938412774914,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,208.42443191315212,352.71778486577216,196
s201_ep0021.json,201,21,apple,0.05134277347194741,1.0229749950786664,False,True,ok FED,True,False,,,False,,,46.952317411811585,0.01270204642737881,0.21851304229325982,0.3991571453884444,37.119702788570564,18.344508155062456,412
s201_ep0022.json,201,22,block,0.0500453231220367,1.0210983793933597,False,True,ok FED,True,False,,,False,,,47.493279822740355,0.0113415860676443,0.19579013337564552,0.400892162596829,42.568214232552464,6.268412423783774,436
s201_ep0023.json,201,23,apple,0.05460502548091771,1.0217803237897263,False,True,ok FED,True,False,,,False,,,48.257968889034764,0.0118560194482073,0.201397202075346,0.3882691783327006,30.66701737753464,21.37517509422791,460
s201_ep0024.json,201,24,mug,0.0506165017237382,1.0040230680025057,False,True,ok FED,True,False,,,False,,,47.009458843598686,0.01163833342054233,0.19759455718590718,0.40519507240320995,37.65195569097258,17.509639394652268,442
s202_ep0000.json,202,0,mug,0.04903017059953425,0.9514883735490309,False,True,ok FED,True,False,,,False,,,47.59025856168515,0.012571637368167991,0.20725344947610858,0.43027239819341107,45.08629097491748,11.972710718420622,413
s202_ep0001.json,202,1,block,0.04834217717957917,1.0050827825621975,False,True,ok FED,True,False,,,False,,,46.9940655467305,0.012366638960059002,0.21391819516335794,0.4401118360904209,59.58550956610839,12.667615152659577,367
s202_ep0002.json,202,2,apple,0.0515167594931735,1.0530797898555537,False,True,ok FED,True,False,,,False,,,47.18383402495783,0.010829337949333284,0.1900320490744648,0.525592334335275,48.32016619141892,15.340651107796205,452
s202_ep0003.json,202,3,block,0.023526627318000655,0.9416391378875524,False,True,ok FED,True,False,,,False,,,46.84557395599147,0.0063848799875082475,0.10654642875237125,0.19904853635513992,35.73528206223184,6.486614196017489,800
s202_ep0004.json,202,4,mug,0.0562230100729544,0.944706009117354,False,True,ok FED,True,False,,,False,,,47.17190737734333,0.012175175083049647,0.19313557096541661,0.45534000872068087,43.579658331818635,6.929675597425672,421
s202_ep0005.json,202,5,mug,0.05130969263648774,1.0356254072810909,False,True,ok FED,True,False,,,False,,,47.79843049536865,0.010364131651922761,0.1768539728287553,0.3884962381511471,58.0307611978277,16.043724404684784,512
